Target,TAS,Rank,CumProb,AUC,n_binding,p.value
SIK1,2 (100-999 nM),61,1,0.5654008438818565,15,0.00540514172597903
SIK1,2 (100-999 nM),80,1,0.5654008438818565,15,0.00540514172597903
SIK1,3 (1-10 uM),1,0,0.39556962025316456,15,0.00540514172597903
SIK1,3 (1-10 uM),54,0.25,0.39556962025316456,15,0.00540514172597903
SIK1,3 (1-10 uM),68,0.5,0.39556962025316456,15,0.00540514172597903
SIK1,3 (1-10 uM),72,0.75,0.39556962025316456,15,0.00540514172597903
SIK1,3 (1-10 uM),75,1,0.39556962025316456,15,0.00540514172597903
SIK1,3 (1-10 uM),80,1,0.39556962025316456,15,0.00540514172597903
SIK1,10 (>10 uM),1,0,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),2,0.038461538461538464,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),3,0.07692307692307693,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),5,0.11538461538461539,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),7,0.15384615384615385,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),8,0.19230769230769232,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),9,0.23076923076923078,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),11,0.2692307692307692,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),12,0.3076923076923077,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),13,0.34615384615384615,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),14,0.38461538461538464,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),17,0.4230769230769231,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),24,0.46153846153846156,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),37,0.5,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),38,0.5384615384615384,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),44,0.5769230769230769,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),45,0.6153846153846154,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),51,0.6538461538461539,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),52,0.6923076923076923,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),53,0.7307692307692307,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),55,0.7692307692307693,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),56,0.8076923076923077,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),57,0.8461538461538461,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),58,0.8846153846153846,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),65,0.9230769230769231,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),67,0.9615384615384616,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),71,1,0.6212268743914313,15,0.00540514172597903
SIK1,10 (>10 uM),80,1,0.6212268743914313,15,0.00540514172597903
SIK2,1 (<100 nM),1,0.25,0.870253164556962,25,0.2995029967596655
SIK2,1 (<100 nM),10,0.5,0.870253164556962,25,0.2995029967596655
SIK2,1 (<100 nM),33,0.75,0.870253164556962,25,0.2995029967596655
SIK2,1 (<100 nM),70,1,0.870253164556962,25,0.2995029967596655
SIK2,1 (<100 nM),80,1,0.870253164556962,25,0.2995029967596655
